,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time,cast,straight_stress,stress_percent
1293,mobile,,1.0,1.0,19.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,16.5,10.0,0.0,1.0,84.5,56.0,0.0,5.0,0.0,3.0,5.0,11.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,20.0,study,8.0,0.375
298,pc/laptop,,1.0,2.0,25.0,1.0,6.0,3.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,,2.0,20.0,10.0,7.5,4.0,10.0,35.0,8.0,2.0,0.0,0.0,1.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,7.0,study,14.0,0.2857142857142857
207,pc/laptop,,1.0,3.0,34.0,2.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,,,,,,,2.0,0.0,10.0,2.0,0.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,15.0,complex,17.0,0.17647058823529413
1467,mobile,,2.0,3.0,19.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,20.0,30.0,0.0,4.0,42.0,63.0,8.0,4.0,0.0,0.5,2.0,9.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,20.0,study,11.0,0.36363636363636365
468,pc/laptop,,2.0,1.0,21.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,11.0,5.0,12.0,4.0,6.0,42.0,2.0,5.0,,1.0,4.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,15.0,study,15.0,0.26666666666666666
970,pc/laptop,1.0800000429153442,2.0,1.0,20.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,25.0,20.0,12.0,5.0,10.0,50.0,10.0,1.0,0.0,0.0,1.0,9.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,study,12.0,0.25
461,mobile,,2.0,3.0,18.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,25.0,55.0,0.0,10.0,0.0,42.0,5.0,6.0,0.0,1.0,0.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,study,15.0,0.26666666666666666
1294,pc/laptop,2.200000047683716,2.0,1.0,18.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,20.0,56.0,3.0,10.5,3.5,56.0,2.0,12.0,0.0,1.0,1.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,15.0,study,12.0,0.3333333333333333
957,mobile,,2.0,3.0,20.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,20.0,25.0,0.0,2.0,6.0,50.0,4.0,4.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,8.0,study,8.0,0.375
939,pc/laptop,2.0,2.0,1.0,20.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,10.5,21.0,5.0,10.5,14.0,50.0,1.5,9.0,0.0,0.5,1.0,8.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,10.0,study,10.0,0.3
1529,pc/laptop,3.0,2.0,1.0,19.0,2.0,6.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,20.0,15.0,1.0,2.0,20.0,70.0,4.0,5.0,0.0,2.0,7.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,10.0,study,11.0,0.36363636363636365
968,pc/laptop,,2.0,3.0,19.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,24.0,8.0,0.0,6.0,5.0,50.0,10.0,0.0,0.0,1.0,0.0,7.5,3.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,study,11.0,0.2727272727272727
1420,pc/laptop,,2.0,3.0,19.0,2.0,7.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,,3.0,20.0,30.0,0.0,10.0,30.0,60.0,6.0,4.0,0.0,0.0,4.0,8.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,10.0,study,13.0,0.3076923076923077
937,pc/laptop,,2.0,4.0,21.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,14.0,14.0,4.0,4.0,6.0,50.0,6.0,2.0,0.0,1.0,0.0,8.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,study,13.0,0.23076923076923078
984,pc/laptop,,2.0,1.0,19.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,11.0,4.0,25.0,3.0,20.0,50.0,3.0,1.5,0.0,0.0,0.0,8.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,9.0,work,14.0,0.21428571428571427
480,pc/laptop,1.600000023841858,2.0,1.0,25.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,20.0,10.0,0.0,12.0,15.0,42.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,study,16.0,0.1875
481,pc/laptop,3.0999999046325684,2.0,1.0,19.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,12.0,7.0,0.0,4.0,,42.0,0.0,3.0,0.0,1.0,12.0,8.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,10.0,study,9.0,0.4444444444444444
1299,tablet,2.0999999046325684,2.0,1.0,21.0,2.0,6.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,4.0,24.0,24.0,12.0,7.0,40.0,56.0,6.0,3.0,3.0,1.0,2.0,8.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,10.0,study,14.0,0.2857142857142857
932,mobile,,2.0,1.0,20.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,10.0,5.0,10.0,2.0,2.0,50.0,0.0,0.0,8.0,0.0,0.0,7.5,2.0,2.0,1.0,3.0,1.0,1.0,1.0,,study,16.0,0.1875
931,mobile,,2.0,3.0,20.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,25.0,10.0,0.0,15.0,8.0,50.0,9.0,0.0,0.0,5.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,study,10.0,0.4
928,pc/laptop,1.600000023841858,2.0,1.0,19.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,13.0,10.0,0.0,3.0,15.0,50.0,2.0,1.0,0.0,0.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,study,10.0,0.3
486,pc/laptop,2.0,2.0,1.0,27.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,16.0,12.0,16.0,6.0,8.0,42.0,4.0,5.0,0.0,2.0,0.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,study,9.0,0.2222222222222222
922,pc/laptop,2.700000047683716,2.0,1.0,21.0,2.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,22.0,30.0,0.0,15.0,15.0,50.0,0.0,10.0,0.0,1.0,2.0,8.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,10.0,study,13.0,0.3076923076923077
493,pc/laptop,3.200000047683716,2.0,1.0,21.0,2.0,7.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,20.0,20.0,0.0,5.0,30.0,42.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,study,11.0,0.36363636363636365
1300,pc/laptop,,2.0,3.0,19.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,20.0,35.0,0.0,4.0,40.0,56.0,0.0,6.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,study,12.0,0.25
495,mobile,2.5,2.0,1.0,19.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,8.0,20.0,0.0,4.0,12.0,42.0,2.0,2.0,0.0,0.5,3.0,8.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,13.0,study,10.0,0.2
497,pc/laptop,,2.0,3.0,19.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,7.0,42.0,10.0,2.0,2.0,42.0,3.0,8.0,0.0,0.5,0.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,study,15.0,0.2
477,mobile,2.0,2.0,1.0,19.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,10.0,10.0,0.0,7.0,20.0,42.0,8.0,1.0,0.0,1.0,2.0,6.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,20.0,study,18.0,0.2222222222222222
987,pc/laptop,1.3600000143051147,2.0,1.0,20.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,26.0,2.0,15.0,3.0,9.0,50.0,0.0,0.0,0.0,2.0,8.0,8.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,study,13.0,0.23076923076923078
431,pc/laptop,,2.0,1.0,65.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,10.0,5.0,40.0,2.0,0.0,0.0,2.0,3.0,8.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,study,10.0,0.2
438,pc/laptop,3.5,2.0,2.0,45.0,1.0,5.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,,15.0,40.0,25.0,1.0,40.0,0.0,10.0,24.0,5.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,complex,10.0,0.4
1536,pc/laptop,,2.0,3.0,20.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,7.0,0.5,1.0,8.0,0.0,1.0,7.5,0.5,1.0,8.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,complex,15.0,0.26666666666666666
1046,pc/laptop,1.899999976158142,2.0,1.0,20.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,15.0,14.0,1.0,10.0,35.0,52.0,0.0,0.0,0.0,0.25,14.0,6.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,20.0,study,11.0,0.2727272727272727
1045,mobile,,2.0,3.0,21.0,2.0,6.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,30.0,20.0,0.0,3.0,50.0,52.0,2.0,6.0,0.0,0.5,5.0,7.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,10.0,study,11.0,0.36363636363636365
386,mobile,2.0,2.0,1.0,18.0,2.0,5.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,16.0,15.0,10.0,2.0,8.0,40.0,6.5,1.0,0.0,0.5,5.0,6.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,30.0,study,15.0,0.26666666666666666
1043,pc/laptop,2.299999952316284,2.0,1.0,20.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,10.5,5.0,12.0,9.0,35.0,52.0,4.5,1.0,0.0,1.0,6.0,8.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,15.0,study,15.0,0.2
1036,pc/laptop,1.2999999523162842,2.0,1.0,20.0,1.0,5.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,24.0,20.0,0.0,3.0,5.0,51.0,8.0,2.0,0.0,0.0,0.0,7.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,10.0,study,11.0,0.2727272727272727
395,pc/laptop,2.0,2.0,1.0,20.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,24.0,12.0,0.0,2.0,12.0,40.0,6.0,2.0,0.0,0.5,4.0,7.0,3.0,3.0,2.0,1.0,,1.0,1.0,10.0,study,11.0,0.2727272727272727
1287,mobile,,2.0,3.0,19.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,3.0,9.0,35.0,3.0,1.0,10.0,56.0,0.0,5.0,0.5,0.0,6.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,13.0,study,19.0,0.21052631578947367
1026,pc/laptop,,2.0,3.0,18.0,2.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,40.0,20.0,0.0,2.0,8.0,50.0,7.0,2.0,0.0,0.0,3.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,10.0,study,13.0,0.3076923076923077
1459,mobile,,2.0,4.0,19.0,2.0,5.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,20.0,25.0,2.0,5.0,8.0,63.0,2.0,5.0,0.0,1.0,2.0,8.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,study,10.0,0.4
1391,pc/laptop,1.100000023841858,2.0,1.0,20.0,1.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,12.0,12.0,4.0,14.0,20.0,60.0,0.0,3.0,0.0,2.0,6.0,7.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,study,9.0,0.3333333333333333
1020,pc/laptop,,2.0,3.0,19.0,2.0,5.0,3.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,20.0,30.0,8.0,5.0,30.0,50.0,5.0,0.0,0.0,4.0,6.0,9.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,10.0,study,12.0,0.3333333333333333
1019,pc/laptop,1.7000000476837158,2.0,1.0,19.0,1.0,5.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,20.0,60.0,10.0,2.0,20.0,50.0,0.0,8.0,0.0,0.0,9.0,7.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,study,12.0,0.25
408,pc/laptop,2.0,2.0,2.0,33.0,1.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,12.0,30.0,0.0,6.0,6.0,40.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,study,13.0,0.23076923076923078
409,mobile,,2.0,3.0,19.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,20.0,12.0,10.0,3.0,12.0,40.0,6.0,2.0,0.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,10.0,study,12.0,0.25
411,pc/laptop,1.399999976158142,2.0,1.0,19.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,18.0,30.0,0.0,5.0,5.0,40.0,9.0,2.0,0.0,1.0,0.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,study,12.0,0.25
414,mobile,,2.0,3.0,19.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,30.0,20.0,5.0,5.0,20.0,40.0,0.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,study,14.0,0.14285714285714285
989,mobile,,2.0,3.0,25.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,11.0,5.0,0.0,10.0,10.0,50.0,2.0,2.0,0.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,15.0,study,10.0,0.3
992,mobile,,2.0,3.0,19.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,15.0,15.0,8.0,2.0,5.0,50.0,1.0,4.0,0.0,0.0,4.0,8.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,study,17.0,0.23529411764705882
994,pc/laptop,,2.0,1.0,21.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,15.0,3.0,0.0,5.0,6.5,50.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,15.0,study,13.0,0.23076923076923078
1523,mobile,2.5,2.0,1.0,20.0,2.0,6.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,12.0,5.0,8.0,3.5,8.0,70.0,4.0,1.0,0.0,3.0,1.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,8.0,study,12.0,0.25
430,mobile,2.5,2.0,1.0,20.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,5.0,12.0,5.0,40.0,40.0,0.0,3.0,4.0,0.0,8.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,10.0,study,16.0,0.1875
996,pc/laptop,,2.0,3.0,19.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,25.0,15.0,0.0,3.0,25.0,50.0,8.0,4.0,0.0,1.0,2.0,7.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,study,11.0,0.36363636363636365
1531,mobile,,2.0,1.0,20.0,1.0,5.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,20.0,25.0,10.0,10.0,30.0,70.0,4.0,2.0,0.0,1.0,6.0,11.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,10.0,study,8.0,0.375
1388,pc/laptop,,2.0,3.0,18.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,20.0,40.0,6.0,5.0,30.0,60.0,0.0,4.0,4.0,0.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,10.0,study,13.0,0.23076923076923078
1001,pc/laptop,,2.0,3.0,18.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,21.0,15.0,0.0,3.0,8.0,50.0,5.0,2.0,0.0,1.0,4.0,7.0,3.0,3.0,2.0,,2.0,1.0,1.0,7.0,study,11.0,0.36363636363636365
